name,wikiLink,inCategory,addToThisList,listLink
Brittany Benn,https://en.wikipedia.org/wiki/Brittany_Benn,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Luc Bradet,https://en.wikipedia.org/wiki/Luc_Bradet,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Delayne Brian,https://en.wikipedia.org/wiki/Delayne_Brian,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Claire Buchanan,https://en.wikipedia.org/wiki/Claire_Buchanan,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Savannah Burton,https://en.wikipedia.org/wiki/Savannah_Burton,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Emily Clark (ice hockey),https://en.wikipedia.org/wiki/Emily_Clark_(ice_hockey),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Dennis Coi,https://en.wikipedia.org/wiki/Dennis_Coi,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Gabriela DeBues-Stafford,https://en.wikipedia.org/wiki/Gabriela_DeBues-Stafford,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Terry Donahue (baseball),https://en.wikipedia.org/wiki/Terry_Donahue_(baseball),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Greg Duhaime,https://en.wikipedia.org/wiki/Greg_Duhaime,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Norman Elder,https://en.wikipedia.org/wiki/Norman_Elder,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
John Epping,https://en.wikipedia.org/wiki/John_Epping,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
