QID,Name,link,sex/gender,sex/gender reference,sexual orientation,sexual orientation reference,pronounsEn,pronouns reference
Q47503129,Jaime Melo Jr.,https://en.wikipedia.org/wiki/Jaime_Melo_Jr.,non-binary,,,,['he/him' 'L307268' 'she/her'],
Q3783092,Hanne Gaby Odiele,https://en.wikipedia.org/wiki/Hanne_Gaby_Odiele,['non-binary' 'intersex'],,,,they/them,
Q298423,Chelsea Manning,https://en.wikipedia.org/wiki/Chelsea_Manning,transgender female,,,,['they/them' 'she/her'],
Q17388685,Michelle Rojas,https://en.wikipedia.org/wiki/Michelle_Rojas,non-binary,,,,['they/them' 'she/her'],
Q105164137,Jana Seelig,https://en.wikipedia.org/wiki/Jana_Seelig,non-binary,,,,['she/her' 'they/them'],
Q16732785,Jack Monroe,https://en.wikipedia.org/wiki/Jack_Monroe,non-binary,,,,['they/them' 'she/her'],
Q52576885,Shyle Zalewski,https://en.wikipedia.org/wiki/Shyle_Zalewski,non-binary,,bisexuality,,['she/her' 'he/him'],
Q24572584,Sophie Labelle,https://en.wikipedia.org/wiki/Sophie_Labelle,['non-binary' 'transgender female'],,bisexuality,,['they/them' 'she/her'],
Q18175132,Eliana Rubashkyn,https://en.wikipedia.org/wiki/Eliana_Rubashkyn,['intersex' 'transfeminine'],,,,,
Q185679,Nico Tortorella,https://en.wikipedia.org/wiki/Nico_Tortorella,genderfluid,,['demisexuality' 'bisexuality'],,they/them,
Q3025396,Yanis,https://en.wikipedia.org/wiki/Yanis,['non-binary' 'male'],,gay,,,
Q21063171,Kate Leth,https://en.wikipedia.org/wiki/Kate_Leth,non-binary,,bisexuality,,['they/them' 'she/her'],
Q107008748,Kdin Jenzen,https://en.wikipedia.org/wiki/Kdin_Jenzen,transgender female,,pansexuality,,['they/them' 'she/her'],
Q58836589,Jonathan Lyndon Chase,https://en.wikipedia.org/wiki/Jonathan_Lyndon_Chase,['non-binary' 'male'],,non-heterosexuality,,they/them,
Q63041986,Kacen Callender,https://en.wikipedia.org/wiki/Kacen_Callender,['transgender male' 'demiboy'],,non-heterosexuality,,['they/them' 'he/him'],
Q65955907,JayR Tinaco,https://en.wikipedia.org/wiki/JayR_Tinaco,non-binary,,,,['they/them' 'he/him'],
Q16149863,Arca,https://en.wikipedia.org/wiki/Arca,['non-binary' 'transgender female'],,,,she/her,
Q68631381,River Gallo,https://en.wikipedia.org/wiki/River_Gallo,['non-binary' 'intersex'],,,,they/them,
Q71385399,Nino Mick,https://en.wikipedia.org/wiki/Nino_Mick,non-binary,,,,['L45643' 'they/them'],
Q100462270,Ilona Verley,https://en.wikipedia.org/wiki/Ilona_Verley,['two-spirit' 'transgender female'],,,,,
Q101142834,Mauree Turner,https://en.wikipedia.org/wiki/Mauree_Turner,non-binary,,non-heterosexuality,,['they/them' 'she/her'],
Q105816235,jan Misali,https://en.wikipedia.org/wiki/jan_Misali,non-binary,,,,['they/them' 'he/him'],
Q26702637,Dominique Provost-Chalkley,https://en.wikipedia.org/wiki/Dominique_Provost-Chalkley,['non-binary' 'genderfluid'],,['non-heterosexuality' 'bisexuality'],,,
Q94123348,Jesse James Keitel,https://en.wikipedia.org/wiki/Jesse_James_Keitel,non-binary,,,,['they/them' 'she/her'],
Q48871586,Linn da Quebrada,https://en.wikipedia.org/wiki/Linn_da_Quebrada,['non-binary' 'transgender female' 'travesti'],,,,,
Q718568,Reimond Manco,https://en.wikipedia.org/wiki/Reimond_Manco,['transgender female' 'intersex'],,,,,
Q29908714,Gopi Shankar Madurai,https://en.wikipedia.org/wiki/Gopi_Shankar_Madurai,['non-binary' 'intersex' 'genderqueer'],,,,,
Q13562635,Layshia Clarendon,https://en.wikipedia.org/wiki/Layshia_Clarendon,non-binary,,non-heterosexuality,,['they/them' 'she/her' 'he/him'],
Q55984393,Mina Tolu,https://en.wikipedia.org/wiki/Mina_Tolu,non-binary,,,,['they/them' 'he/him'],
Q21062531,Noelle Stevenson,https://en.wikipedia.org/wiki/Noelle_Stevenson,['bigender' 'transmasculine'],,lesbianism,,['they/them' 'she/her' 'he/him'],
Q108123100,Khayri R.R. Woulfe,https://en.wikipedia.org/wiki/Khayri_R.R._Woulfe,['neutrois' 'genderqueer' 'genderfluid'],,,,['they/them' 'he/him'],
Q16235152,Princess Nokia,https://en.wikipedia.org/wiki/Princess_Nokia,non-binary,,bisexuality,,['they/them' 'she/her'],
Q20026871,Violet Chachki,https://en.wikipedia.org/wiki/Violet_Chachki,genderfluid,,,,['they/them' 'she/her'],
Q105301361,Erika Hilton,https://en.wikipedia.org/wiki/Erika_Hilton,['transgender female' 'travesti'],,,,she/her,
Q51724798,Larry King,https://en.wikipedia.org/wiki/Larry_King,['transgender person' 'male'],,['non-heterosexuality' 'gay'],,,
Q65159048,Oh Mu,https://en.wikipedia.org/wiki/Oh_Mu,agender,,,,['L250373' 'they/them'],
Q72415621,Jay L. Colbert,https://en.wikipedia.org/wiki/Jay_L._Colbert,transgender male,,,,['they/them' 'he/him'],
Q85494672,Kelsi Phụng,https://en.wikipedia.org/wiki/Kelsi_Phụng,non-binary,,,,['L250373' 'they/them'],
Q97205535,Euleax de Lima Pereira,https://en.wikipedia.org/wiki/Euleax_de_Lima_Pereira,transgender female,,,,['L43387' 'she/her'],
Q23893181,Pabllo Vittar,https://en.wikipedia.org/wiki/Pabllo_Vittar,['genderfluid' 'male'],,homosexuality,,,
Q108546121,Bryanna Nasck,https://en.wikipedia.org/wiki/Bryanna_Nasck,['non-binary' 'transgender female'],,,,,
Q5178675,Courtney Stodden,https://en.wikipedia.org/wiki/Courtney_Stodden,['non-binary' 'female'],,bisexuality,,they/them,
